,Accommodates,Accuracy,Air Conditioning,Bathrooms,Bed type,Bedrooms,Beds,Breakfast,Buzzer/Wireless Intercom,Cable TV,Cancellation,Carbon Monoxide Detector,Check In,Check Out,Checkin,Cleaning_Fee,Cleanliness,Communication,Doorman,Dryer,Elevator in Building,Essentials,Extra_People,Family/Kid Friendly,Fire Extinguisher,First Aid Kit,Free Parking on Premises,Gym,Heating,Hot Tub,Indoor Fireplace,Internet,Kitchen,Lat,ListingID,Location,Long,Monthly_Price,Pets Allowed,Pool,Price,Property type,Safety Card,Security_Deposit,Shampoo,Smoke Detector,Smoking Allowed,Suitable for Events,TV,Title,URL,UserID,Value,Washer,Weekly_Price,Wheelchair Accessible,Wireless Internet
232,2,5.0,1,1,Real Bed,1,1,1,0,0,Strict,1,3:00 PM,11:00 AM,4.5,Not Found,5.0,4.5,0,1,0,1,No Charge,0,0,0,0,1,1,0,0,0,1,40.81333410873088,6361313,4.5,-73.9558444150528,Not Found,0,1,72,Apartment,1,Not Found,0,1,0,1,0,Cozy Room in Design Apartment,https://www.airbnb.com/rooms/6361313,33120553,4.5,1,Not Found,1,1
233,3,Not Found,1,2,Not Found,2,2,1,0,0,Flexible,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,1,0,1,No Charge,0,0,0,0,1,1,0,0,1,1,40.789099777766495,6606910,Not Found,-73.97082161477506,Not Found,0,1,300,Apartment,1,Not Found,0,0,0,1,1,Two Bedroom Two Bathroom,https://www.airbnb.com/rooms/6606910,20469855,Not Found,1,Not Found,1,1
234,1,Not Found,0,1,Real Bed,1,1,1,0,0,Moderate,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,1,1,1,Not Found,0,0,0,0,1,1,0,0,0,1,40.811682572386154,7150696,Not Found,-73.95813215422676,$1000,1,1,40,Apartment,1,Not Found,0,1,0,1,0,One room in a three bedroom!,https://www.airbnb.com/rooms/7150696,13872342,Not Found,1,$250,1,1
235,1,4.5,1,1,Couch,1,1,1,1,0,Moderate,0,10:00 AM,10:00 AM,5.0,$20,5.0,5.0,0,1,1,1,Not Found,0,0,0,0,1,1,0,0,1,1,40.73024789151808,102452,4.5,-73.97924718560498,Not Found,0,1,55,Apartment,1,$100,1,0,0,1,0,AMAZING VIEW OF East Village NYC!,https://www.airbnb.com/rooms/102452,535621,4.5,1,Not Found,1,1
236,1,5.0,1,1,Real Bed,1,1,1,1,1,Flexible,0,Not Found,11:00 AM,5.0,Not Found,4.5,5.0,0,1,0,1,Not Found,0,0,0,0,1,1,0,0,0,1,40.74193666848122,1377478,5.0,-73.99905123489125,$2350,0,1,145,Apartment,1,Not Found,0,0,0,1,0,Charming Room in Chelsea Apartment,https://www.airbnb.com/rooms/1377478,1023119,4.5,1,$800,1,1
237,2,4.5,1,1,Real Bed,1,1,1,1,0,Strict,0,6:00 PM,5:00 PM,4.5,$15,4.5,4.5,0,1,0,1,$15 / night after the first guest,0,0,0,0,1,1,0,0,1,1,40.75735534994415,2141337,4.5,-73.99353586300232,Not Found,0,1,95,Apartment,1,Not Found,0,0,0,1,0,Live right in the center of NYC! :),https://www.airbnb.com/rooms/2141337,10916318,4.0,1,$900,1,1
238,2,Not Found,0,1.5,Real Bed,1,1,1,1,0,Flexible,0,Not Found,Not Found,Not Found,$25,Not Found,Not Found,0,1,0,1,$10 / night after the first guest,0,0,0,0,1,1,0,0,0,1,40.731331112526924,6741662,Not Found,-73.98473597076548,Not Found,0,1,99,Apartment,1,$99,1,1,0,1,0,"Get Cozy in East Village, Manhattan",https://www.airbnb.com/rooms/6741662,35300969,Not Found,1,Not Found,1,1
239,1,Not Found,1,1,Real Bed,1,1,1,1,0,Moderate,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,1,1,1,Not Found,0,0,0,0,1,1,0,0,0,1,40.853413758093076,5298458,Not Found,-73.93180760599307,$845,0,1,47,Apartment,1,$500,0,1,0,1,0,"Manhattan, Time Square à 30'",https://www.airbnb.com/rooms/5298458,2730883,Not Found,1,Not Found,1,1
240,2,5.0,1,1,Real Bed,0,1,1,1,1,Moderate,0,5:00 PM,Not Found,5.0,$35,5.0,5.0,0,1,0,1,Not Found,0,0,0,0,1,1,0,0,0,1,40.78668633392767,1415757,4.5,-73.96783666405176,Not Found,0,1,160,Apartment,1,$500,1,0,0,1,1,Cozy Studio in UWS,https://www.airbnb.com/rooms/1415757,7628501,4.5,1,Not Found,1,1
241,2,Not Found,1,1,Real Bed,1,1,1,1,1,Strict,0,Not Found,Not Found,Not Found,$40,Not Found,Not Found,0,1,1,1,No Charge,0,0,1,0,1,1,0,0,1,1,40.76193127976715,7093920,Not Found,-73.94933389589154,Not Found,0,1,75,Apartment,1,$200,1,1,0,1,1,Roosevelt Island Charm,https://www.airbnb.com/rooms/7093920,37181980,Not Found,1,$550,1,1
