,nameCT,,categoriesCT,descCT,doublon,priceOCT,priceFinalCT,priceFinalAddCT
56,cento bread crumbs,cento bread crumbs,Grocery,24 Oz. Cnstr. Plain or Flavored; Capers In Brine (3 Oz. Jar); Sliced Pimientos (4 Oz. Jar),1,1.69,1.69,
57,cento san marzano tomatoes,cento san marzano tomatoes,Grocery,28 Oz. Can,1,2.99,2.99,
58,cento tomatoes,cento tomatoes,Grocery,"Puree, Plum, or Crushed 28 Oz. Can",1,3 FOR $5,1.667,3
59,cheerios cereal,cheerios cereal,Grocery,General Mills 12 Oz. Boxes,1,$3 ,2.99,
60,chef boyardee microwave bowls,chef boyardee microwave bowls,Grocery,7.5 Oz. Cntr.,1,99¢,0.99,
61,classico pasta sauce,classico pasta sauce,Grocery,15-24 Oz. Jars or Pesto Sauce (8.1 Oz.),1,1.99,1.99,
62,clorox liquid bleach,clorox liquid bleach,General Merchandise,64 Oz. Btl. or Smart Seek or Splash-Less (55 Oz.),1,2.49,2.49,
63,colavita extra virgin olive oil,colavita extra virgin olive oil,Grocery,25.5 Oz. Btl.,1,9.99,9.99,
64,coosur extra virgin olive oil,coosur extra virgin olive oil,Grocery,17 Oz. Btl.,1,4.49,4.49,
65,crisco vegetable oil,crisco vegetable oil,Grocery,64 Oz. Btl.,1,4.49,4.49,
66,crystal light drink mix,crystal light drink mix,Beverages,Makes 8 Qts. .96-2.1 Oz. Cnstr.,1,2.29,2.29,
67,crystal light on the go drink mix,crystal light on the go drink mix,Beverages,7-10 Pk. Box,1,2.59,2.59,
68,dawn dish liquid,dawn dish liquid,General Merchandise,Assorted Varieties 9 Oz. Btl.,1,99¢,0.99,
69,diamond crystal salt,diamond crystal salt,Grocery,Iodized or Plain 22 Oz. Cnstrs.,1,79¢,0.79,
70,diamond plastic forks,diamond plastic forks,General Merchandise,"or Assorted Cutlery, Spoons, 24 Ct. Box",1,99¢,0.99,
71,donuts,donuts,Bakery,Labree: Assorted Varieties 12.5-13.5 Oz. Pkg.,1,2.99,2.99,
72,dynamo 2x liquid detergent,dynamo 2x liquid detergent,General Merchandise,"32 Load: Free & Clear, Waterfall, or Sun Fresh 50 Oz. Btls.",1,2.99,2.99,
