,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
64,66,63,2015-03-10,26-184,CLE,@,DAL,W (+33),1,32:57,9,17,.529,2,6,.333,1,2,.500,2,12,14,2,0,1,3,2,21,15.6,+22,44.5
65,67,64,2015-03-12,26-186,CLE,@,SAS,W (+3),1,32:50,2,10,.200,2,4,.500,2,2,1.000,2,3,5,2,0,0,0,0,8,5.5,-1,18.3
66,70,65,2015-03-18,26-192,CLE,,BRK,W (+25),1,27:29,4,9,.444,0,2,.000,2,3,.667,2,9,11,4,0,0,3,1,10,8.4,+12,29.8
67,71,66,2015-03-20,26-194,CLE,,IND,W (+3),1,38:56,3,9,.333,1,4,.250,4,5,.800,2,11,13,1,0,1,0,0,11,11.6,+3,32.8
68,72,67,2015-03-22,26-196,CLE,@,MIL,W (+18),1,29:17,4,13,.308,1,5,.200,0,0,,2,1,3,2,0,0,2,1,9,2.2,+1,15.3
69,73,68,2015-03-25,26-199,CLE,@,MEM,W (+22),1,31:43,10,13,.769,2,4,.500,0,0,,1,9,10,4,1,2,5,0,22,20.5,+23,46.5
70,74,69,2015-03-27,26-201,CLE,@,BRK,L (-8),1,31:24,6,11,.545,2,4,.500,4,4,1.000,1,6,7,1,0,0,3,6,18,10.5,+2,27.8
71,75,70,2015-03-29,26-203,CLE,,PHI,W (+1),1,30:58,4,10,.400,2,5,.400,0,1,.000,3,7,10,1,2,1,2,1,10,9.4,+10,31.5
72,77,71,2015-04-05,26-210,CLE,,CHI,W (+5),1,30:47,4,12,.333,3,8,.375,0,0,,1,3,4,2,2,1,2,1,11,7.5,+2,25.5
73,78,72,2015-04-08,26-213,CLE,@,MIL,W (+5),1,35:09,7,14,.500,1,5,.200,1,2,.500,2,9,11,0,1,2,2,1,16,12.7,+4,36.8
74,79,73,2015-04-10,26-215,CLE,,BOS,L (-9),1,30:51,6,12,.500,4,8,.500,3,3,1.000,2,4,6,4,0,0,2,1,19,16.0,+2,33.5
75,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
76,81,74,2015-04-13,26-218,CLE,,DET,W (+12),1,26:14,3,9,.333,1,6,.167,0,0,,0,4,4,0,0,2,1,1,7,3.1,+7,16.0
