shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Q010125,40.7140515415,-73.7780015394,80004
Q010125,40.7141618145,-73.7775405298,80005
Q010125,40.7141618145,-73.7775405298,90001
Q010125,40.7142611933,-73.7771242847,90002
Q010125,40.714484443,-73.7761856558,90003
Q010125,40.714596065,-73.7757163389,90004
Q010125,40.7146940669,-73.7753011752,90005
Q010125,40.7147918218,-73.7749008008,90006
Q010125,40.7147918218,-73.7749008008,100001
Q010125,40.7149037335,-73.7744419398,100002
Q010125,40.7151188619,-73.7735718585,100003
Q010125,40.7153713012,-73.772835114,100004
Q010125,40.7153713012,-73.772835114,110001
Q010125,40.7153972268,-73.7727592726,110002
Q010125,40.7156837702,-73.7719214008,110003
Q010125,40.7159730953,-73.7711051561,110004
Q010125,40.7160999916,-73.7707356906,110005
Q010125,40.7160999916,-73.7707356906,120001
Q010125,40.716325126,-73.7700794624,120002
Q010125,40.716630798,-73.7692090349,120003
Q010125,40.7166799285,-73.7690717851,120004
Q010125,40.7168057378,-73.7687109733,120005
Q010125,40.7168057378,-73.7687109733,130001
Q010125,40.7169910387,-73.7681796851,130002
Q010125,40.7172885058,-73.7673309131,130003
Q010125,40.7173540588,-73.7671719588,130004
Q010125,40.7174262559,-73.7670411187,130005
Q010125,40.7174262559,-73.7670411187,140001
Q010125,40.7176466729,-73.766640647,140002
Q010125,40.7183550397,-73.7653972037,140003
Q010125,40.7185284445,-73.7650964526,140004
Q010125,40.7185284445,-73.7650964526,150001
Q010125,40.7188883792,-73.7644718115,150002
Q010125,40.7192395029,-73.7637014519,150003
Q010125,40.7192395029,-73.7637014519,160001
Q010125,40.7192818553,-73.7636082282,160002
Q010125,40.7196369431,-73.7627664164,160003
Q010125,40.7198091181,-73.7624050506,160004
Q010125,40.7199454386,-73.7620935949,160005
Q010125,40.7199454386,-73.7620935949,170001
Q010125,40.7200003485,-73.7619678565,170002
Q010125,40.7203279992,-73.7611369479,170003
Q010125,40.7206583737,-73.7602988061,170004
Q010125,40.7208047373,-73.7599360783,170005
Q010125,40.7208047373,-73.7599360783,180001
Q010125,40.7208740956,-73.7597641073,180002
Q010125,40.7210272438,-73.7594965931,180003
Q010125,40.721098381,-73.7593881084,180004
Q010125,40.7215991815,-73.7586755978,180005
Q010125,40.7217994967,-73.7583887867,180006
Q010125,40.7217994967,-73.7583887867,190001
Q010125,40.7220890213,-73.7579739392,190002
Q010125,40.7225679083,-73.7572867409,190003
Q010125,40.7230878555,-73.7565488749,190004
Q010125,40.7232824258,-73.7562736167,190005
Q010125,40.7232824258,-73.7562736167,200001
Q010125,40.7236379059,-73.7557712018,200002
Q010125,40.7238430953,-73.7554565757,200003
Q010125,40.7238921251,-73.755279616,200004
Q010125,40.72409453,-73.7549469585,200005
Q010125,40.7242151527,-73.7548779674,200006
Q010125,40.7246937976,-73.7540860997,200007
Q010125,40.7249016762,-73.7537476419,200008
Q010125,40.7249016762,-73.7537476419,210001
Q010125,40.7251423764,-73.7533556648,210002
Q010125,40.7254487197,-73.7528566496,210003
Q010125,40.7255799327,-73.7526072218,210004
Q010125,40.7260062096,-73.751721712,210005
Q010125,40.7261794399,-73.7513566711,210006
Q010125,40.7261794399,-73.7513566711,220001
Q010125,40.7264297194,-73.7508289854,220002
Q010125,40.7268095179,-73.7500338251,220003
Q010125,40.7272002348,-73.7492133591,220004
Q010125,40.7272996897,-73.7490048068,220005
Q010125,40.7272996897,-73.7490048068,230001
Q010125,40.7275772852,-73.7484217986,230002
Q010125,40.7276729174,-73.7482229999,230003
Q010125,40.7280257092,-73.7476371748,230004
Q010125,40.72826091,-73.7472502292,230005
Q010125,40.7283564213,-73.7469973074,230006
Q010125,40.7283867674,-73.7469423506,230007
Q010125,40.7283867674,-73.7469423506,240001
Q010125,40.7284548433,-73.7468201417,240002
Q010125,40.7286187655,-73.7464731501,240003
Q010125,40.7288264275,-73.7460466137,240004
Q010125,40.7288674235,-73.7459670809,240005
Q010125,40.7292776758,-73.7453052449,240006
Q010125,40.7296422703,-73.7447262003,240007
Q010125,40.7296422703,-73.7447262003,250001
Q010125,40.7297262385,-73.7445927409,250002
Q010125,40.7297808851,-73.7444806812,250003
Q010125,40.7301801739,-73.7438296933,250004
Q010125,40.729923222,-73.7427027953,250005
Q010125,40.729923222,-73.7427027953,260001
Q010125,40.729875267,-73.7424922688,260002
Q010125,40.7298225923,-73.7422579475,260003
Q010125,40.7297671319,-73.742005597,260004
Q010125,40.7294649567,-73.7406717865,260005
Q010125,40.7294039709,-73.740405028,260006
Q010125,40.7293235693,-73.7400488661,260007
Q010125,40.7293235693,-73.7400488661,270001
Q010125,40.7289575854,-73.7384259596,270002
Q010125,40.728692241,-73.7372529534,270003
Q010125,40.728692241,-73.7372529534,280001
Q010125,40.7286664547,-73.7371390419,280002
Q010125,40.7283176038,-73.7355842903,280003
Q010125,40.7283176038,-73.7355842903,290001
Q010125,40.7282920895,-73.7354700182,290002
