shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
X10367,40.534304796,-74.1540379923,90002
X10367,40.5342335951,-74.153915513,90003
X10367,40.5345277179,-74.153596011,90004
X10367,40.5349675543,-74.153096963,90005
X10367,40.5354238861,-74.1525763608,90006
X10367,40.535636938,-74.1523286141,90007
X10367,40.535636938,-74.1523286141,100001
X10367,40.535899472,-74.1520234169,100002
X10367,40.5363228185,-74.1515351039,100003
X10367,40.5367736535,-74.151014468,100004
X10367,40.5372354984,-74.1504686663,100005
X10367,40.5376052441,-74.1500341787,100006
X10367,40.5376052441,-74.1500341787,110001
X10367,40.5376725952,-74.1499551807,110002
X10367,40.5380354535,-74.1495386606,110003
X10367,40.5386866967,-74.1489824673,110004
X10367,40.5392609896,-74.1484980479,110005
X10367,40.539924303,-74.1479433002,110006
X10367,40.539924303,-74.1479433002,120001
X10367,40.5400331149,-74.1478521565,120002
X10367,40.5409728493,-74.1470663026,120003
X10367,40.5423879554,-74.1458677036,120004
X10367,40.5424923766,-74.1457743848,120005
X10367,40.542622682,-74.1456156394,120006
X10367,40.542622682,-74.1456156394,130001
X10367,40.5432621096,-74.1448369883,130002
X10367,40.5435753616,-74.1445642187,130003
X10367,40.5438445514,-74.144406488,130004
X10367,40.5439709073,-74.1443312025,130005
X10367,40.5442621726,-74.1440799685,130006
X10367,40.5447020213,-74.1435376085,130007
X10367,40.5454002816,-74.1426719649,130008
X10367,40.5456042827,-74.1424011024,130009
X10367,40.5456042827,-74.1424011024,140001
X10367,40.5458869144,-74.1420253401,140002
X10367,40.5463872941,-74.1413571461,140003
X10367,40.5470966315,-74.140397928,140004
X10367,40.5477922019,-74.1394674468,140005
X10367,40.5478609311,-74.1393776343,140006
X10367,40.5480621743,-74.139111064,140007
X10367,40.5480621743,-74.139111064,150001
X10367,40.5484410162,-74.1386088146,150002
X10367,40.5486416644,-74.1383789409,150003
X10367,40.5493040437,-74.1376462563,150004
X10367,40.5495432205,-74.1373300961,150005
X10367,40.5497915302,-74.1369502617,150006
X10367,40.5497915302,-74.1369502617,160001
X10367,40.5503846629,-74.1360436076,160002
X10367,40.5512456166,-74.1344908431,160003
X10367,40.5514738391,-74.134145853,160004
X10367,40.5523094394,-74.13313276,160005
X10367,40.5530680561,-74.1322238465,160006
X10367,40.553447401,-74.131735196,160007
X10367,40.5535422509,-74.1316007975,160008
X10367,40.5535422509,-74.1316007975,170001
X10367,40.5544316327,-74.1303408831,170002
X10367,40.555742527,-74.1289039756,170003
X10367,40.5565010298,-74.1280669413,170004
X10367,40.5568459189,-74.1276933354,170005
X10367,40.5568459189,-74.1276933354,180001
X10367,40.5578173731,-74.1266407515,180002
X10367,40.5583669902,-74.126044392,180003
X10367,40.5589138594,-74.1254480175,180004
X10367,40.5590567539,-74.1252971345,180005
X10367,40.5591331775,-74.1251889526,180006
X10367,40.5591331775,-74.1251889526,190001
X10367,40.5592904226,-74.1249664783,190002
X10367,40.5594004611,-74.124739956,190003
X10367,40.5594692646,-74.124570938,190004
X10367,40.5595299193,-74.1243227293,190005
X10367,40.5595685917,-74.1240960726,190006
X10367,40.559588116,-74.1238081994,190007
X10367,40.5595637924,-74.1234554653,190008
X10367,40.5594331476,-74.122422351,190009
X10367,40.5594113847,-74.1222387693,190010
X10367,40.5594228914,-74.1217421477,190011
X10367,40.5594533281,-74.121511876,190012
X10367,40.5595056962,-74.121306836,190013
X10367,40.5595194886,-74.1212420815,190014
X10367,40.5596350813,-74.1209471839,190015
X10367,40.559758866,-74.1206918876,190016
X10367,40.5598605786,-74.1205445172,190017
X10367,40.5603552228,-74.1199911776,190018
X10367,40.5606093984,-74.1197217148,190019
X10367,40.5606093984,-74.1197217148,200001
X10367,40.5612400257,-74.1190534388,200002
X10367,40.5621028402,-74.1181372304,200003
X10367,40.5626991187,-74.1174976565,200004
X10367,40.5638806019,-74.1163012343,200005
X10367,40.5644053965,-74.115769477,200006
