shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
M010137,40.74462707,-73.9852433691,40002
M010137,40.745241834,-73.9847921212,40003
M010137,40.7458593414,-73.9843444732,40004
M010137,40.746476847,-73.983896817,40005
M010137,40.7470970951,-73.9834455427,40006
M010137,40.7477639966,-73.9829581579,40007
M010137,40.7483631084,-73.9825202253,40008
M010137,40.7483631084,-73.9825202253,50001
M010137,40.748430896,-73.9824707633,50002
M010137,40.7490483947,-73.9820266815,50003
M010137,40.7496658899,-73.9815717641,50004
M010137,40.7502806396,-73.9811240573,50005
M010137,40.7509036212,-73.9806727307,50006
M010137,40.7515211115,-73.9802213973,50007
M010137,40.7521413447,-73.9797700547,50008
M010137,40.7527999966,-73.979286208,50009
M010137,40.753379608,-73.9788572388,50010
M010137,40.753379608,-73.9788572388,60001
M010137,40.7534778563,-73.9787842989,60002
M010137,40.7540980837,-73.9783329297,60003
M010137,40.7547292869,-73.9778743295,60004
M010137,40.7553549986,-73.9774157226,60005
M010137,40.7559779645,-73.9769607174,60006
M010137,40.756606418,-73.9765057018,60007
M010137,40.7572321235,-73.9760434596,60008
M010137,40.7577911423,-73.9756400691,60009
M010137,40.7577911423,-73.9756400691,70001
M010137,40.7578578293,-73.9755920373,70002
M010137,40.7584862764,-73.9751333864,70003
M010137,40.7591119777,-73.9746783374,70004
M010137,40.7597404219,-73.9742232789,70005
M010137,40.760363374,-73.9737646042,70006
M010137,40.7609890697,-73.9733095296,70007
M010137,40.7616120189,-73.9728544476,70008
M010137,40.7622871067,-73.9723596274,70009
M010137,40.7628922148,-73.9719193355,70010
M010137,40.7628922148,-73.9719193355,80001
M010137,40.7629621931,-73.9718684071,80002
M010137,40.7635851355,-73.9714096882,80003
M010137,40.764216312,-73.970958177,80004
M010137,40.7648392498,-73.970495831,80005
M010137,40.7654649322,-73.9700406951,80006
M010137,40.7660906127,-73.9695855506,80007
M010137,40.7667162915,-73.9691303976,80008
M010137,40.7673419673,-73.968671626,80009
M010137,40.7679676423,-73.9682164559,80010
M010137,40.7685960592,-73.9677576657,80011
M010137,40.7688498954,-73.9675734239,80012
M010137,40.7688498954,-73.9675734239,90001
M010137,40.7692189867,-73.9673060899,90002
M010137,40.7698473998,-73.9668472825,90003
M010137,40.770475811,-73.9663884665,90004
M010137,40.771098733,-73.9659368652,90005
M010137,40.7717820222,-73.9654346795,90006
M010137,40.7721870555,-73.9651380591,90007
M010137,40.7721870555,-73.9651380591,100001
M010137,40.7724625654,-73.9649360953,100002
M010137,40.7730992019,-73.9644736284,100003
M010137,40.7737330917,-73.9640111541,100004
M010137,40.7743669796,-73.963548671,100005
M010137,40.7750008667,-73.9630897897,100006
M010137,40.7756374943,-73.962623677,100007
M010137,40.776318025,-73.9621250352,100008
M010137,40.7770012982,-73.9616263816,100009
M010137,40.7770012982,-73.9616263816,110001
M010137,40.7770012982,-73.9616263816,110002
M010137,40.7776351774,-73.9611674638,110003
M010137,40.778271797,-73.9607013143,110004
M010137,40.7789029264,-73.9602387698,110005
M010137,40.7795395421,-73.9597726025,110006
M010137,40.7801734124,-73.9593100388,110007
M010137,40.7808566744,-73.9588149383,110008
M010137,40.7811930901,-73.9585691929,110009
M010137,40.7811930901,-73.9585691929,120001
M010137,40.7815344446,-73.9583198311,120002
M010137,40.7821600773,-73.9578644666,120003
