shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
BX010026,40.8267160705,-73.9226317379,70002
BX010026,40.8268752199,-73.922566513,70003
BX010026,40.8269273184,-73.9224905725,70004
BX010026,40.8269547364,-73.9224471807,70005
BX010026,40.827662608,-73.9220561121,70006
BX010026,40.8278601536,-73.9219474795,70007
BX010026,40.8285378415,-73.9215708895,70008
BX010026,40.8288566564,-73.9213941783,70009
BX010026,40.8288566564,-73.9213941783,80001
BX010026,40.8295694617,-73.9209987454,80002
BX010026,40.8308534972,-73.9202889672,80003
BX010026,40.8313089433,-73.9200354721,80004
BX010026,40.8313446095,-73.9200137478,80005
BX010026,40.8313446095,-73.9200137478,90001
BX010026,40.8318878302,-73.919680644,90002
BX010026,40.8324310348,-73.9193258531,90003
BX010026,40.8330263013,-73.9188481286,90004
BX010026,40.8333044466,-73.9186096483,90005
BX010026,40.8333044466,-73.9186096483,100001
BX010026,40.8335749108,-73.9183776801,100002
BX010026,40.8343867858,-73.9175925045,100003
BX010026,40.8345266702,-73.9174586229,100004
BX010026,40.8347960118,-73.9171955689,100005
BX010026,40.8347960118,-73.9171955689,110001
BX010026,40.835138311,-73.9168615917,110002
BX010026,40.8357170332,-73.9162935015,110003
BX010026,40.8363259232,-73.9156964524,110004
BX010026,40.8366012949,-73.9154275943,110005
BX010026,40.8366012949,-73.9154275943,120001
BX010026,40.8374449593,-73.9146036374,120002
BX010026,40.8379715908,-73.9141295372,120003
BX010026,40.8383199525,-73.9138399719,120004
BX010026,40.8385860535,-73.9136589294,120005
BX010026,40.8387396757,-73.913550311,120006
BX010026,40.8390200465,-73.9133663563,120007
BX010026,40.8390200465,-73.9133663563,130001
BX010026,40.8391539223,-73.9132787234,130002
BX010026,40.8397520305,-73.9129635238,130003
BX010026,40.840122437,-73.9127931792,130004
BX010026,40.8408797612,-73.9125102879,130005
BX010026,40.8411591013,-73.9124170382,130006
BX010026,40.8411591013,-73.9124170382,140001
BX010026,40.8424685418,-73.9119805295,140002
BX010026,40.8429569743,-73.9118172444,140003
BX010026,40.8431819817,-73.9117410477,140004
BX010026,40.8435252554,-73.9116252984,140005
BX010026,40.8435252554,-73.9116252984,150001
BX010026,40.8438817002,-73.9115051933,150002
BX010026,40.8442905551,-73.9113673072,150003
BX010026,40.84475147,-73.9111136925,150004
BX010026,40.8450202944,-73.910910932,150005
BX010026,40.8452114583,-73.91072743,150006
